onset_year,onset_month,notified,confirmed,hospitalised,hosp_known,deaths,outcome_known,lab_confirmed,crit_known,severe,sev_known,population,days_in_month,person_years,incidence_per_100k_py,incidence_lo,incidence_hi,confirmed_among_notified,confirmed_among_notified_lo,confirmed_among_notified_hi,H,H_lo,H_hi,lab_share,lab_share_lo,lab_share_hi,severe_share,severe_share_lo,severe_share_hi,cfr,cfr_lo,cfr_hi,hosp_completeness,outcome_completeness,criterion_completeness,H_worst_case_bound,month_start
2020,9,55,7,6,7,0,6,7,7,4,7,11220286,30.0,921584.0657084188,0.7595617437915576,0.3053832152964228,1.5649874925534557,0.12727272727272726,0.052735182963729504,0.24480272032202482,0.8571428571428571,0.42127680295680486,0.9963897031380994,1.0,0.5903836027749967,1.0,0.5714285714285714,0.18405156764008307,0.9010117215574921,0.0,0.0,0.45925812643990044,1.0,0.8571428571428571,1.0,0.8571428571428571,2020-09-01
2020,10,49,11,11,11,1,10,9,11,6,10,11220286,31.0,952303.5345653662,1.1550938960885435,0.5766187111489636,2.0667820499358838,0.22448979591836735,0.11774342055419093,0.3662430188592764,1.0,0.7150858470818456,1.0,0.8181818181818182,0.48224414763982737,0.9771688017000404,0.6,0.2623780766069451,0.8784477418801728,0.1,0.0025285785444617865,0.4450161170281954,1.0,0.9090909090909091,1.0,1.0,2020-10-01
2020,11,51,7,7,7,1,6,7,7,2,6,11220286,30.0,921584.0657084188,0.7595617437915576,0.3053832152964228,1.5649874925534557,0.13725490196078433,0.05701181346336882,0.262551543304546,1.0,0.5903836027749967,1.0,1.0,0.5903836027749967,1.0,0.3333333333333333,0.04327186829274169,0.7772219044964879,0.16666666666666666,0.004210744514489473,0.6412345789976748,1.0,0.8571428571428571,1.0,1.0,2020-11-01
2020,12,44,11,11,11,0,9,9,11,7,11,11220286,31.0,952303.5345653662,1.1550938960885435,0.5766187111489636,2.0667820499358838,0.25,0.13192743793364678,0.403380407735859,1.0,0.7150858470818456,1.0,0.8181818181818182,0.48224414763982737,0.9771688017000404,0.6363636363636364,0.3079047150116772,0.8907365561809019,0.0,0.0,0.3362671168799428,1.0,0.8181818181818182,1.0,1.0,2020-12-01
2021,1,58,15,10,15,1,13,13,15,7,14,11227789,31.0,952940.3394934976,1.574075456599175,0.8809980840191516,2.5961980877665067,0.25862068965517243,0.15255186836510476,0.39043166086847503,0.6666666666666666,0.3838037325411542,0.881758896633119,0.8666666666666667,0.595397303396628,0.9834240865599164,0.5,0.23036054144806237,0.7696394585519376,0.07692307692307693,0.0019456284973467495,0.3602974352678775,1.0,0.8666666666666667,1.0,0.6666666666666666,2021-01-01
2021,2,70,29,20,29,4,27,24,28,15,27,11227789,28.0,860720.3066392882,3.3692710368634717,2.2564536920687797,4.838835231064305,0.4142857142857143,0.29772096123490677,0.5383383667814586,0.6896551724137931,0.4916766461900099,0.8471540603913684,0.8571428571428571,0.6733473306842048,0.9596643692029087,0.5555555555555556,0.35326423032200543,0.7452011933682622,0.14814814814814814,0.04188739647376729,0.3373108640242444,1.0,0.9310344827586207,0.9655172413793104,0.6896551724137931,2021-02-01
2021,3,68,28,16,27,1,24,25,28,16,28,11227789,31.0,952940.3394934976,2.9382741856517933,1.952461857764023,4.246624291797475,0.4117647058823529,0.293735088694121,0.5377327396635492,0.5925925925925926,0.38798393025968186,0.7761027086494185,0.8928571428571429,0.7177356042846756,0.977334909360941,0.5714285714285714,0.3717936286120959,0.7553760636978534,0.041666666666666664,0.0010543524454697483,0.2112016834569731,0.9642857142857143,0.8571428571428571,1.0,0.6071428571428571,2021-03-01
2021,4,85,22,8,20,0,20,18,21,6,20,11227789,30.0,922200.3285420944,2.3855988031125275,1.4950420690074913,3.6118252570764353,0.25882352941176473,0.16985049116736584,0.3652356212094173,0.4,0.19119006072530725,0.6394574126925103,0.8571428571428571,0.636576012983019,0.9695110323784845,0.3,0.11893159040572772,0.5427891822762891,0.0,0.0,0.16843347098308528,0.9090909090909091,0.9090909090909091,0.9545454545454546,0.45454545454545453,2021-04-01
2021,5,42,10,8,10,2,10,7,10,6,9,11227789,31.0,952940.3394934976,1.0493836377327832,0.5032202434290122,1.9298538722573686,0.23809523809523808,0.12051618649217989,0.3945024290215759,0.8,0.4439045376923585,0.9747892736731666,0.7,0.34754714994000274,0.9332604888222655,0.6666666666666666,0.2992950562085404,0.9251453685803082,0.2,0.025210726326833386,0.5560954623076415,1.0,1.0,1.0,0.8,2021-05-01
2021,6,48,11,7,11,2,9,11,11,6,11,11227789,30.0,922200.3285420944,1.1927994015562637,0.5954411636263249,2.1342476145521734,0.22916666666666666,0.1203301668257834,0.3731202473158602,0.6363636363636364,0.3079047150116772,0.8907365561809019,1.0,0.7150858470818456,1.0,0.5454545454545454,0.23379359765934518,0.8325119059362929,0.2222222222222222,0.02814497347789821,0.600093573716312,1.0,0.8181818181818182,1.0,0.6363636363636364,2021-06-01
2021,7,46,10,8,10,1,9,6,10,4,10,11227789,31.0,952940.3394934976,1.0493836377327832,0.5032202434290122,1.9298538722573686,0.21739130434782608,0.1094817001688192,0.3636243586153967,0.8,0.4439045376923585,0.9747892736731666,0.6,0.2623780766069451,0.8784477418801728,0.4,0.1215522581198272,0.7376219233930549,0.1111111111111111,0.0028091367465992167,0.48249651491733697,1.0,0.9,1.0,0.8,2021-07-01
2021,8,49,4,4,4,1,4,3,4,3,4,11227789,31.0,952940.3394934976,0.41975345509311335,0.1143686890414992,1.0747355580358005,0.08163265306122448,0.022690880643073272,0.19601418347889,1.0,0.3976353643835254,1.0,0.75,0.19412044968324346,0.9936905367902902,0.75,0.19412044968324346,0.9936905367902902,0.25,0.0063094632097098705,0.8058795503167565,1.0,1.0,1.0,1.0,2021-08-01
