health_region_code,year,dH,dCFR,outcome_known,hosp_known
28001,2008,0.054605626034197496,0.04999999999999999,36,37
28001,2009,0.027027027027026973,0.05303030303030304,33,33
28001,2010,-0.0714285714285714,-0.09372797744890768,43,42
28001,2011,0.006912442396313279,0.145536384096024,31,31
28001,2012,-0.04659498207885304,-0.04233870967741937,16,18
28001,2013,0.04444444444444451,-0.04583333333333334,15,15
28001,2014,-0.05833333333333335,-0.005797101449275366,23,24
28001,2015,0.06617647058823528,0.09207161125319696,17,17
28001,2023,0.04166666666666663,-0.15686274509803919,17,22
28001,2024,-0.0625,0.037815126050420145,14,16
28001,2025,0.0625,-0.037815126050420145,17,17
28006,2008,-0.09469696969696972,-0.30434782608695654,23,22
28006,2009,0.13636363636363635,0.28985507246376807,15,15
28006,2010,0.0,-0.26666666666666666,15,16
28006,2011,-0.09090909090909094,0.11515151515151516,11,11
28006,2012,0.09090909090909094,0.17532467532467533,14,14
28006,2013,-0.08333333333333337,0.059523809523809534,12,12
28006,2014,0.08333333333333337,-0.1166666666666667,10,10
28006,2015,0.0,-0.0692307692307692,13,13
29020,2008,-0.04761904761904767,0.00721500721500723,66,63
29020,2009,0.04761904761904767,-0.021324354657688005,81,100
29020,2010,-0.014705882352941124,-0.024130190796857465,132,136
29020,2011,-0.041897891231964524,-0.042613636363636354,96,106
29020,2012,0.016603773584905612,-0.008643617021276598,47,50
29020,2013,-0.000322580645161219,0.08156028368794326,114,124
29020,2014,-0.024193548387096864,-0.06140350877192982,57,62
29020,2015,0.018004501125281402,0.07992202729044834,81,86
29020,2016,-0.09237726098191212,0.09067688378033206,29,36
29020,2017,0.13888888888888884,-0.1442831215970962,38,43
29020,2018,-0.04347826086956519,0.02631578947368421,38,46
29020,2019,0.005742411812961423,0.059496567505720827,46,53
29020,2020,-0.03543488265071326,0.004830917874396129,36,41
29020,2021,0.004988913525498795,0.015873015873015872,42,44
29020,2022,-0.0032467532467531646,0.08333333333333337,56,70
29020,2023,-0.0035714285714285587,-0.21031746031746035,63,80
29020,2024,0.04129213483146066,0.041666666666666685,72,89
29020,2025,0.003404834865509021,0.08796296296296294,54,66
31016,2008,-0.09523809523809523,0.09956709956709955,21,21
31016,2009,0.036414565826330514,-0.0029761904761904656,16,17
31016,2010,-0.15170278637770895,-0.029605263157894746,19,19
31016,2011,0.14156079854809434,-0.08382066276803118,27,29
31016,2012,0.06896551724137934,0.0998389694041868,23,24
31016,2013,-0.125,-0.06280193236714976,18,24
31016,2014,0.05833333333333335,0.022222222222222227,15,15
31016,2015,0.01904761904761898,-0.13333333333333333,21,21
31016,2016,0.04761904761904767,0.2727272727272727,11,11
31016,2017,-0.16666666666666663,-0.18577075098814227,23,24
31016,2018,0.09523809523809523,-0.08695652173913043,26,28
31016,2019,-0.02857142857142858,0.07407407407407407,27,30
31016,2020,-0.03888888888888886,-0.01693121693121693,35,36
31016,2021,0.08006535947712412,-0.05714285714285714,18,17
31016,2022,-0.07450980392156858,0.07407407407407407,27,30
31016,2023,-0.048484848484848464,-0.026455026455026454,21,22
31016,2024,0.11038961038961037,0.02930402930402931,13,14
31016,2025,-0.015527950310559091,0.08974358974358973,24,23
32002,2008,0.09926470588235292,0.024456521739130432,69,64
32002,2009,-0.06681034482758619,-0.017991004497751123,87,87
32002,2010,-0.0053050397877983935,-0.0487634970393591,99,78
32002,2011,0.0625814863102998,0.11425176131058483,119,118
32002,2012,-0.1479661016949152,0.0028011204481792895,102,100
