health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,H,person_years
31086,DIVINOPOLIS,MG,Sudeste,57,3,54,0.42105263157894735,6408066
31087,LAGOA DA PRATA/SANTO ANTONIO DO MONTE,MG,Sudeste,8,0,7,0.75,1616402
31088,OLIVEIRA/SANTO ANTONIO DO AMPARO,MG,Sudeste,15,1,15,0.6,1936473
31089,CAMPO BELO,MG,Sudeste,6,0,5,0.3333333333333333,1841729
31090,LIMA DUARTE,MG,Sudeste,21,1,17,0.6666666666666666,1374602
31091,CASSIA,MG,Sudeste,9,2,9,0.8888888888888888,923357
31092,PASSOS,MG,Sudeste,54,1,50,0.8333333333333334,3997253
31093,PIUMHI,MG,Sudeste,15,2,14,0.6666666666666666,1470014
31094,ALMENARA/JACINTO,MG,Sudeste,4,0,3,1.0,3192653
31095,SERRO,MG,Sudeste,6,1,5,0.8333333333333334,1039041
31096,ITAMBACURI,MG,Sudeste,4,0,4,1.0,706391
31097,JUIZ DE FORA,MG,Sudeste,77,11,73,0.8961038961038961,11322038
31098,SALINAS,MG,Sudeste,2,0,2,0.0,1286080
31099,TEOFILO OTONI/MALACACHETA,MG,Sudeste,36,4,35,0.8484848484848485,5331332
31100,SAO FRANCISCO,MG,Sudeste,3,0,3,0.6666666666666666,1880803
31101,BRASILIA DE MINAS,MG,Sudeste,3,0,3,1.0,2414315
31102,PECANHA/SAO JOAO EVANGELISTA/SANTA MARIA DO SUACUI,MG,Sudeste,8,0,5,0.75,1856068
32001,CENTRAL,ES,Sudeste,351,2,327,0.21764705882352942,9571682
32002,METROPOLITANA,ES,Sudeste,1256,73,1092,0.6211009174311927,43025458
32003,NORTE,ES,Sudeste,245,8,234,0.35319148936170214,7827536
32004,SUL,ES,Sudeste,633,12,593,0.3798319327731092,12727353
33001,BAIA DA ILHA GRANDE,RJ,Sudeste,150,14,129,0.7445255474452555,4911465
33002,BAIXADA LITORANEA,RJ,Sudeste,59,8,50,0.8103448275862069,14679801
33003,CENTRO-SUL,RJ,Sudeste,100,11,90,0.6736842105263158,6309773
33004,MEDIO PARAIBA,RJ,Sudeste,382,49,346,0.8509485094850948,17131636
33005,METROPOLITANA I,RJ,Sudeste,1947,346,1711,0.904226859283039,198055248
33006,METROPOLITANA II,RJ,Sudeste,585,114,446,0.9050179211469535,38639267
33007,NOROESTE,RJ,Sudeste,240,45,202,0.728448275862069,6562937
33008,NORTE,RJ,Sudeste,230,50,208,0.918552036199095,17193198
33009,SERRANA,RJ,Sudeste,736,55,607,0.6025641025641025,18102722
35011,ALTO DO TIETE,SP,Sudeste,1427,185,1266,0.7107736804049168,54762215
35012,FRANCO DA ROCHA,SP,Sudeste,140,17,125,0.8796992481203008,10776040
35013,MANANCIAIS,SP,Sudeste,343,29,274,0.8909090909090909,20531599
35014,ROTA DOS BANDEIRANTES,SP,Sudeste,580,98,489,0.9046762589928058,35842361
35015,GRANDE ABC,SP,Sudeste,596,85,565,0.9044368600682594,51620543
35016,SAO PAULO,SP,Sudeste,3633,507,3229,0.8889200561009818,225490150
35021,CENTRAL DO DRS II,SP,Sudeste,3,0,3,1.0,5630990
35022,LAGOS DO DRS II,SP,Sudeste,1,0,1,1.0,3779761
35023,CONSORCIOS DO DRS II,SP,Sudeste,5,0,4,0.6,4999800
35031,CENTRAL DO DRS III,SP,Sudeste,14,2,13,0.7857142857142857,5856658
35032,CORACAO DO DRS III,SP,Sudeste,21,3,19,0.8571428571428571,7285818
35033,NOROESTE DO DRS III,SP,Sudeste,21,0,21,0.95,5512307
35041,BAIXADA SANTISTA,SP,Sudeste,1018,222,925,0.8765306122448979,33858721
35051,NORTE - BARRETOS,SP,Sudeste,15,3,15,0.8666666666666667,5396973
35052,SUL - BARRETOS,SP,Sudeste,8,0,8,0.625,2759921
35061,VALE DO JURUMIRIM,SP,Sudeste,22,4,21,0.6818181818181818,5626985
35062,BAURU,SP,Sudeste,39,3,39,0.7894736842105263,12043147
35063,POLO CUESTA,SP,Sudeste,58,2,58,0.7068965517241379,5656654
35064,JAU,SP,Sudeste,33,8,31,0.7575757575757576,6282840
35065,LINS,SP,Sudeste,7,0,6,0.5714285714285714,3048574
35071,BRAGANCA,SP,Sudeste,151,10,132,0.7074829931972789,8800310
35072,REGIAO METROPOLITANA DE CAMPINAS,SP,Sudeste,993,96,940,0.6197636949516648,58077637
35073,JUNDIAI,SP,Sudeste,125,8,113,0.8306451612903226,14881446
35074,CIRCUITO DAS AGUAS,SP,Sudeste,63,2,60,0.6612903225806451,2477233
35081,TRES COLINAS,SP,Sudeste,26,2,24,0.625,7893468
35082,ALTA ANHANGUERA,SP,Sudeste,4,0,3,0.0,2881512
35083,ALTA MOGIANA,SP,Sudeste,4,1,4,1.0,2228416
35091,ADAMANTINA,SP,Sudeste,25,1,25,0.68,2521936
35092,ASSIS,SP,Sudeste,109,9,108,0.6886792452830188,4533174
35093,MARILIA,SP,Sudeste,58,0,58,0.43103448275862066,7258540
35094,OURINHOS,SP,Sudeste,27,1,26,0.5925925925925926,4443255
35095,TUPA,SP,Sudeste,16,2,16,0.5,2441439
