health_region_code,health_region_name,uf_abbr,region,cases,deaths,outcome_known,hosp_known,person_years,H,cfr,incidence_per_100k,outcome_completeness,years_observed,excluded_at_10,excluded_at_20,excluded_at_30,excluded_at_50
29018,PORTO SEGURO,BA,Nordeste,71,16,68,71,7148399,0.9436619718309859,0.23529411764705882,0.9932293930431135,0.9577464788732394,19,false,false,false,false
29019,RIBEIRA DO POMBAL,BA,Nordeste,6,1,6,6,6988208,0.8333333333333334,0.16666666666666666,0.08585892119982691,1.0,19,true,true,true,true
29020,SALVADOR,BA,Nordeste,1377,203,1211,1358,60131332,0.9580265095729014,0.1676300578034682,2.2899875226446005,0.879448075526507,19,false,false,false,false
29021,SANTA MARIA DA VITORIA,BA,Nordeste,2,0,1,2,5649289,1.0,0.0,0.035402685187463416,0.5,19,true,true,true,true
29022,SANTO ANTONIO DE JESUS,BA,Nordeste,34,0,28,33,8791220,0.9393939393939394,0.0,0.3867495068943787,0.8235294117647058,19,false,false,false,true
29023,SEABRA,BA,Nordeste,3,0,1,3,3510113,0.3333333333333333,0.0,0.08546733395762472,0.3333333333333333,19,true,true,true,true
29024,SENHOR DO BONFIM,BA,Nordeste,2,0,1,2,5623518,1.0,0.0,0.035564925727987355,0.5,19,true,true,true,true
29025,SERRINHA,BA,Nordeste,12,2,6,12,10928060,1.0,0.3333333333333333,0.10980906034556911,0.5,19,false,true,true,true
29026,TEIXEIRA DE FREITAS,BA,Nordeste,13,2,13,13,8252167,0.6153846153846154,0.15384615384615385,0.15753437854565958,1.0,19,false,true,true,true
29027,VALENCA,BA,Nordeste,45,7,41,45,5384449,0.9111111111111111,0.17073170731707318,0.8357401100836873,0.9111111111111111,19,false,false,false,true
29028,VITORIA DA CONQUISTA,BA,Nordeste,16,3,13,15,12881505,0.7333333333333333,0.23076923076923078,0.12420908892245122,0.8125,19,false,true,true,true
31001,ALFENAS/MACHADO,MG,Sudeste,24,0,20,23,5589421,0.7391304347826086,0.0,0.4293825782670513,0.8333333333333334,19,false,false,true,true
31002,GUAXUPE,MG,Sudeste,12,1,11,12,2621562,0.5,0.09090909090909091,0.4577423688625331,0.9166666666666666,19,false,true,true,true
31003,ITAJUBA,MG,Sudeste,137,4,126,135,3852711,0.6814814814814815,0.031746031746031744,3.555937624182037,0.9197080291970803,19,false,false,false,false
31004,LAVRAS,MG,Sudeste,12,1,9,12,3441832,0.4166666666666667,0.1111111111111111,0.3486515320910492,0.75,19,false,true,true,true
31006,POCOS DE CALDAS,MG,Sudeste,33,2,33,33,4403238,0.6060606060606061,0.06060606060606061,0.7494484740547751,1.0,19,false,false,false,true
31007,POUSO ALEGRE/SANTA RITA DO SAPUCAI,MG,Sudeste,149,3,141,144,10293111,0.6180555555555556,0.02127659574468085,1.4475701272433572,0.9463087248322147,19,false,false,false,false
31008,SAO LOURENCO,MG,Sudeste,142,6,132,141,4913510,0.6879432624113475,0.045454545454545456,2.8899910654501566,0.9295774647887324,19,false,false,false,false
31009,SAO SEBASTIAO DO PARAISO,MG,Sudeste,18,0,18,18,2380739,0.5555555555555556,0.0,0.756067758792543,1.0,19,false,true,true,true
31010,TRES CORACOES,MG,Sudeste,10,0,9,9,2124964,0.7777777777777778,0.0,0.4705962077475195,0.9,19,false,true,true,true
31011,TRES PONTAS,MG,Sudeste,17,0,16,16,2369167,0.4375,0.0,0.7175517808579978,0.9411764705882353,19,false,true,true,true
31012,VARGINHA,MG,Sudeste,13,2,11,13,4005578,0.7692307692307693,0.18181818181818182,0.3245474186247278,0.8461538461538461,19,false,true,true,true
31013,BARBACENA,MG,Sudeste,22,5,21,22,4347967,0.8636363636363636,0.23809523809523808,0.5059836010714893,0.9545454545454546,19,false,false,true,true
31015,SAO JOAO DEL REI,MG,Sudeste,30,4,26,29,4499390,0.6551724137931034,0.15384615384615385,0.6667570492889036,0.8666666666666667,19,false,false,false,true
31016,BELO HORIZONTE/NOVA LIMA/SANTA LUZIA,MG,Sudeste,429,38,396,418,62926800,0.9043062200956937,0.09595959595959595,0.6817445031369782,0.9230769230769231,19,false,false,false,false
