health_region_code,uf_abbr,region,cases,deaths,outcome_known,hospitalised,hosp_known,H,H_quintile
31042,MG,Sudeste,46,5,44,42,46,0.9130434782608695,5
51002,MT,Centro-Oeste,35,4,27,32,35,0.9142857142857143,5
13005,AM,Norte,60,7,58,55,60,0.9166666666666666,5
29012,BA,Nordeste,139,28,130,122,133,0.9172932330827067,5
33008,RJ,Sudeste,230,50,208,203,221,0.918552036199095,5
15009,PA,Norte,101,16,79,89,96,0.9270833333333334,5
15007,PA,Norte,57,7,44,51,55,0.9272727272727272,5
31060,MG,Sudeste,57,8,52,53,57,0.9298245614035088,5
26008,PE,Nordeste,147,16,130,120,129,0.9302325581395349,5
29015,BA,Nordeste,47,4,42,44,47,0.9361702127659575,5
29022,BA,Nordeste,34,0,28,31,33,0.9393939393939394,5
29018,BA,Nordeste,71,16,68,67,71,0.9436619718309859,5
28001,SE,Nordeste,420,100,392,393,415,0.946987951807229,5
52004,GO,Centro-Oeste,58,2,50,54,57,0.9473684210526315,5
29009,BA,Nordeste,211,24,194,199,208,0.9567307692307693,5
29020,BA,Nordeste,1377,203,1211,1301,1358,0.9580265095729014,5
50011,MS,Centro-Oeste,73,2,67,70,73,0.958904109589041,5
29004,BA,Nordeste,107,15,91,95,99,0.9595959595959596,5
22004,PI,Nordeste,51,0,42,49,51,0.9607843137254902,5
21016,MA,Nordeste,312,55,297,298,309,0.9644012944983819,5
31018,MG,Sudeste,118,29,114,112,116,0.9655172413793104,5
28006,SE,Nordeste,212,47,203,203,210,0.9666666666666667,5
21002,MA,Nordeste,30,4,27,29,30,0.9666666666666667,5
43012,RS,Sul,31,0,27,30,31,0.967741935483871,5
25016,PB,Nordeste,65,11,64,61,63,0.9682539682539683,5
28007,SE,Nordeste,36,11,36,35,36,0.9722222222222222,5
